"IDSensor","time"
"16944","""2017-05-31T14:16:34.496Z"""
"16944","""2017-05-31T14:16:34.901Z"""
"16944","""2017-05-31T14:16:35.179Z"""
"16944","""2017-05-31T14:16:35.665Z"""
"16944","""2017-05-31T14:16:35.863Z"""
"16944","""2017-05-31T14:16:36.130Z"""
"16944","""2017-05-31T14:16:36.512Z"""
"16944","""2017-05-31T14:16:36.895Z"""
"16944","""2017-05-31T14:16:37.161Z"""
"16944","""2017-05-31T14:16:37.276Z"""
"16944","""2017-05-31T14:16:37.596Z"""
"16944","""2017-05-31T14:16:38.447Z"""
"16944","""2017-05-31T14:16:38.479Z"""
"16944","""2017-05-31T14:16:38.609Z"""
"16944","""2017-05-31T14:16:38.939Z"""
"16944","""2017-05-31T14:16:39.205Z"""
"16944","""2017-05-31T14:16:39.331Z"""
"16944","""2017-05-31T14:16:39.673Z"""
"16944","""2017-05-31T14:16:39.999Z"""
"16944","""2017-05-31T14:16:40.281Z"""
"16944","""2017-05-31T14:16:40.661Z"""
"16944","""2017-05-31T14:16:41.040Z"""
"16944","""2017-05-31T14:16:41.295Z"""
"16944","""2017-05-31T14:16:41.766Z"""
"16944","""2017-05-31T14:16:42.026Z"""
"16944","""2017-05-31T14:16:42.309Z"""
"16944","""2017-05-31T14:16:42.691Z"""
"16944","""2017-05-31T14:16:43.070Z"""
"16944","""2017-05-31T14:16:43.332Z"""
"16944","""2017-05-31T14:16:44.159Z"""
"16944","""2017-05-31T14:16:44.276Z"""
"16944","""2017-05-31T14:16:44.306Z"""
"16944","""2017-05-31T14:16:45.067Z"""
"16944","""2017-05-31T14:16:45.157Z"""
"16944","""2017-05-31T14:16:45.636Z"""
"16944","""2017-05-31T14:16:45.894Z"""
"16944","""2017-05-31T14:16:46.039Z"""
"16944","""2017-05-31T14:16:46.439Z"""
"16944","""2017-05-31T14:16:46.840Z"""
"16944","""2017-05-31T14:16:47.232Z"""
"16944","""2017-05-31T14:16:47.490Z"""
"16944","""2017-05-31T14:16:47.643Z"""
"16944","""2017-05-31T14:16:47.847Z"""
"16944","""2017-05-31T14:16:48.952Z"""
"16944","""2017-05-31T14:16:49.054Z"""
"16944","""2017-05-31T14:16:49.081Z"""
"16944","""2017-05-31T14:16:49.256Z"""
"16944","""2017-05-31T14:16:49.514Z"""
"16944","""2017-05-31T14:16:49.598Z"""
"16944","""2017-05-31T14:16:49.910Z"""
"16944","""2017-05-31T14:31:38.467Z"""
"16944","""2017-05-31T14:31:38.527Z"""
"16944","""2017-05-31T14:31:38.575Z"""
"16944","""2017-05-31T14:31:38.615Z"""
"16944","""2017-05-31T14:31:38.652Z"""
"16944","""2017-05-31T14:31:38.693Z"""
"16944","""2017-05-31T14:31:38.755Z"""
"16944","""2017-05-31T14:31:38.803Z"""
"16944","""2017-05-31T14:31:39.371Z"""
"16944","""2017-05-31T14:31:39.553Z"""
"16944","""2017-05-31T14:31:39.997Z"""
"16944","""2017-05-31T14:31:40.269Z"""
"16944","""2017-05-31T14:31:41.091Z"""
"16944","""2017-05-31T14:31:41.132Z"""
"16944","""2017-05-31T14:31:41.215Z"""
"16944","""2017-05-31T14:31:41.591Z"""
"16944","""2017-05-31T14:31:41.861Z"""
"16944","""2017-05-31T14:31:41.959Z"""
"16944","""2017-05-31T14:31:42.194Z"""
"16944","""2017-05-31T14:31:42.574Z"""
"16944","""2017-05-31T14:31:44.007Z"""
"16944","""2017-05-31T14:31:44.440Z"""
"16944","""2017-05-31T14:31:44.474Z"""
"16944","""2017-05-31T14:31:44.522Z"""
"16944","""2017-05-31T14:31:45.001Z"""
"16944","""2017-05-31T14:31:45.388Z"""
"16944","""2017-05-31T14:31:45.679Z"""
"16944","""2017-05-31T14:31:46.589Z"""
"16944","""2017-05-31T14:31:46.752Z"""
"16944","""2017-05-31T14:31:46.785Z"""
"16944","""2017-05-31T14:31:46.821Z"""
"16944","""2017-05-31T14:31:47.591Z"""
"16944","""2017-05-31T14:31:47.770Z"""
"16944","""2017-05-31T14:31:48.244Z"""
"16944","""2017-05-31T14:31:48.494Z"""
"16944","""2017-05-31T14:31:48.606Z"""
"16944","""2017-05-31T14:31:49.034Z"""
"16944","""2017-05-31T14:31:49.415Z"""
"16944","""2017-05-31T14:31:49.798Z"""
"16944","""2017-05-31T14:31:50.056Z"""
"16944","""2017-05-31T14:31:50.159Z"""
"16944","""2017-05-31T14:31:51.069Z"""
"16944","""2017-05-31T14:31:51.116Z"""
"16944","""2017-05-31T14:31:51.709Z"""
"16944","""2017-05-31T14:31:51.845Z"""
"16944","""2017-05-31T14:31:52.416Z"""
"16944","""2017-05-31T14:31:52.602Z"""
"16944","""2017-05-31T14:31:53.236Z"""
"16944","""2017-05-31T14:31:53.620Z"""
"16944","""2017-05-31T14:31:54.573Z"""
"16944","""2017-05-31T14:31:54.677Z"""
"16944","""2017-05-31T14:31:54.710Z"""
"16944","""2017-05-31T14:31:54.739Z"""
"16944","""2017-05-31T14:31:54.903Z"""
"16944","""2017-05-31T14:31:55.231Z"""
"16944","""2017-05-31T14:31:55.612Z"""
"16944","""2017-05-31T14:31:55.989Z"""
"16944","""2017-05-31T14:31:56.254Z"""
"16944","""2017-05-31T14:31:56.840Z"""
"16944","""2017-05-31T14:31:56.979Z"""
"16944","""2017-05-31T14:31:57.248Z"""
"16944","""2017-05-31T14:31:58.232Z"""
"16944","""2017-05-31T14:31:58.284Z"""
"16944","""2017-05-31T14:31:58.320Z"""
"16944","""2017-05-31T14:31:58.405Z"""
"16944","""2017-05-31T14:31:58.660Z"""
"16944","""2017-05-31T14:31:59.043Z"""
"16944","""2017-05-31T14:31:59.335Z"""
"16944","""2017-05-31T14:31:59.716Z"""
"16944","""2017-05-31T14:32:00.098Z"""
"16944","""2017-05-31T14:32:00.367Z"""
"16944","""2017-05-31T14:32:00.918Z"""
"16944","""2017-05-31T14:32:01.080Z"""
"16944","""2017-05-31T14:32:01.360Z"""
"16944","""2017-05-31T14:32:01.750Z"""
"16944","""2017-05-31T14:32:02.130Z"""
"16944","""2017-05-31T14:32:02.383Z"""
"16944","""2017-05-31T14:32:02.565Z"""
"16944","""2017-05-31T14:32:02.757Z"""
"16944","""2017-05-31T14:32:03.139Z"""
"16944","""2017-05-31T14:32:03.444Z"""
"16944","""2017-05-31T14:32:03.972Z"""
"16944","""2017-05-31T14:32:04.221Z"""
"16944","""2017-05-31T14:32:04.460Z"""
"16944","""2017-05-31T14:32:04.599Z"""
"16944","""2017-05-31T14:32:04.860Z"""
"16944","""2017-05-31T14:32:05.240Z"""
"16944","""2017-05-31T14:32:06.094Z"""
"16944","""2017-05-31T14:32:06.266Z"""
"16944","""2017-05-31T14:32:07.051Z"""
"16944","""2017-05-31T14:32:07.148Z"""
"16944","""2017-05-31T14:32:07.204Z"""
"16944","""2017-05-31T14:32:07.587Z"""
"16944","""2017-05-31T14:32:07.919Z"""
"16944","""2017-05-31T14:32:08.300Z"""
"16944","""2017-05-31T14:32:08.553Z"""
"16944","""2017-05-31T14:32:08.680Z"""
"16944","""2017-05-31T14:32:08.972Z"""
"16944","""2017-05-31T14:32:09.336Z"""
"16944","""2017-05-31T14:32:09.615Z"""
"16944","""2017-05-31T14:32:09.994Z"""
"16944","""2017-05-31T14:32:10.376Z"""
"16944","""2017-05-31T14:32:11.034Z"""
"16944","""2017-05-31T14:32:11.109Z"""
"16944","""2017-05-31T14:32:11.147Z"""
"16944","""2017-05-31T14:32:11.263Z"""
"16944","""2017-05-31T14:32:11.650Z"""
"16944","""2017-05-31T14:32:12.029Z"""
"16944","""2017-05-31T14:32:12.405Z"""
"16944","""2017-05-31T14:32:12.667Z"""
"16944","""2017-05-31T14:32:12.796Z"""
"16944","""2017-05-31T14:32:13.065Z"""
"16944","""2017-05-31T14:32:13.431Z"""
"16944","""2017-05-31T14:32:14.471Z"""
"16944","""2017-05-31T14:32:14.534Z"""
"16944","""2017-05-31T14:32:14.953Z"""
"16944","""2017-05-31T14:32:15.229Z"""
"16944","""2017-05-31T14:32:15.405Z"""
"16944","""2017-05-31T14:32:15.765Z"""
"16944","""2017-05-31T14:32:16.146Z"""
"16944","""2017-05-31T14:32:16.530Z"""
"16944","""2017-05-31T14:32:16.797Z"""
"16944","""2017-05-31T14:32:16.913Z"""
"16944","""2017-05-31T14:32:17.501Z"""
"16944","""2017-05-31T14:32:17.600Z"""
"16944","""2017-05-31T14:32:17.958Z"""
"16944","""2017-05-31T14:32:18.224Z"""
"16944","""2017-05-31T14:32:18.602Z"""
"16944","""2017-05-31T14:32:18.868Z"""
"16944","""2017-05-31T14:32:19.449Z"""
"16944","""2017-05-31T14:32:19.590Z"""
"16944","""2017-05-31T14:32:19.871Z"""
"16944","""2017-05-31T14:32:20.243Z"""
"16944","""2017-05-31T14:32:20.784Z"""
"16944","""2017-05-31T14:32:20.951Z"""
"16944","""2017-05-31T14:32:21.052Z"""
"16944","""2017-05-31T14:32:21.242Z"""
"16944","""2017-05-31T14:32:21.621Z"""
"16944","""2017-05-31T14:32:21.951Z"""
